Time,PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 1:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 1:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 1:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 1:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 1:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 2:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 2:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 2:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 2:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 2:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 2:DesPer 1:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 2:DesPer 1:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 2:DesPer 1:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 2:DesPer 1:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 2:DesPer 1:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 2:DesPer 2:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 2:DesPer 2:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 2:DesPer 2:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 2:DesPer 2:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 2:DesPer 2:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 3:DesPer 1:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 3:DesPer 1:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 3:DesPer 1:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 3:DesPer 1:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 3:DesPer 1:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 3:DesPer 2:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 3:DesPer 2:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 3:DesPer 2:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 3:DesPer 2:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 3:DesPer 2:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 4:DesPer 1:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 4:DesPer 1:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 4:DesPer 1:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 4:DesPer 1:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 4:DesPer 1:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 4:DesPer 2:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 4:DesPer 2:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 4:DesPer 2:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 4:DesPer 2:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 4:DesPer 2:Des Tot Cool Cap [W]
00:10:00,6.344891E-02,1.172112E+03,4.000860E-01,3.544295E+03,5.059905E+02,9.634121E-02,5.605258E+03,6.344891E-02,0.000000E+00,0.000000E+00,4.809838E-02,8.885369E+02,3.002003E-01,2.659425E+03,3.796646E+02,2.612928E-01,1.520236E+04,4.809838E-02,0.000000E+00,0.000000E+00,2.853258E-02,5.270915E+02,1.802045E-01,1.596402E+03,2.279054E+02,1.633103E-01,9.501606E+03,2.853258E-02,0.000000E+00,0.000000E+00,4.809838E-02,8.885369E+02,2.997854E-01,2.655749E+03,3.791399E+02,2.626528E-01,1.528148E+04,4.809838E-02,0.000000E+00,0.000000E+00,2.853258E-02,5.270915E+02,1.912064E-01,1.693866E+03,2.418196E+02,1.633103E-01,9.501606E+03,2.853258E-02,0.000000E+00,0.000000E+00
00:20:00,6.344891E-02,1.181548E+03,3.990172E-01,3.475486E+03,4.444761E+02,9.634147E-02,5.605273E+03,6.344891E-02,0.000000E+00,0.000000E+00,4.809838E-02,8.956900E+02,2.979594E-01,2.595260E+03,3.319050E+02,2.612936E-01,1.520240E+04,4.809838E-02,0.000000E+00,0.000000E+00,2.853258E-02,5.313348E+02,1.787314E-01,1.556771E+03,1.990937E+02,1.633108E-01,9.501635E+03,2.853258E-02,0.000000E+00,0.000000E+00,4.809838E-02,8.956900E+02,2.975207E-01,2.591439E+03,3.314164E+02,2.626536E-01,1.528153E+04,4.809838E-02,0.000000E+00,0.000000E+00,2.853258E-02,5.313348E+02,1.892469E-01,1.648362E+03,2.108073E+02,1.633108E-01,9.501635E+03,2.853258E-02,0.000000E+00,0.000000E+00
00:30:00,6.344891E-02,1.190984E+03,3.979848E-01,3.407305E+03,3.833253E+02,9.634171E-02,5.605287E+03,6.344891E-02,0.000000E+00,0.000000E+00,4.809838E-02,9.028432E+02,2.957882E-01,2.532360E+03,2.848930E+02,2.612943E-01,1.520244E+04,4.809838E-02,0.000000E+00,0.000000E+00,2.853258E-02,5.355782E+02,1.773024E-01,1.517956E+03,1.707715E+02,1.633113E-01,9.501664E+03,2.853258E-02,0.000000E+00,0.000000E+00,4.809838E-02,9.028432E+02,2.953294E-01,2.528432E+03,2.844512E+02,2.626543E-01,1.528157E+04,4.809838E-02,0.000000E+00,0.000000E+00,2.853258E-02,5.355782E+02,1.873571E-01,1.604038E+03,1.804559E+02,1.633113E-01,9.501664E+03,2.853258E-02,0.000000E+00,0.000000E+00
00:40:00,6.344891E-02,1.200420E+03,3.969873E-01,3.339726E+03,3.225146E+02,9.634194E-02,5.605301E+03,6.344891E-02,0.000000E+00,0.000000E+00,4.809838E-02,9.099963E+02,2.936851E-01,2.470678E+03,2.385914E+02,2.612950E-01,1.520248E+04,4.809838E-02,0.000000E+00,0.000000E+00,2.853258E-02,5.398215E+02,1.759162E-01,1.479926E+03,1.429152E+02,1.633117E-01,9.501691E+03,2.853258E-02,0.000000E+00,0.000000E+00,4.809838E-02,9.099963E+02,2.932095E-01,2.466677E+03,2.382050E+02,2.626550E-01,1.528161E+04,4.809838E-02,0.000000E+00,0.000000E+00,2.853258E-02,5.398215E+02,1.855327E-01,1.560827E+03,1.507278E+02,1.633117E-01,9.501691E+03,2.853258E-02,0.000000E+00,0.000000E+00
00:50:00,6.344891E-02,1.209856E+03,3.960239E-01,3.272725E+03,2.620212E+02,9.634217E-02,5.605314E+03,6.344891E-02,0.000000E+00,0.000000E+00,4.809838E-02,9.171495E+02,2.916492E-01,2.410176E+03,1.929637E+02,2.612956E-01,1.520252E+04,4.809838E-02,0.000000E+00,0.000000E+00,2.853258E-02,5.440649E+02,1.745717E-01,1.442653E+03,1.155018E+02,1.633122E-01,9.501717E+03,2.853258E-02,0.000000E+00,0.000000E+00,4.809838E-02,9.171495E+02,2.911597E-01,2.406131E+03,1.926399E+02,2.626557E-01,1.528165E+04,4.809838E-02,0.000000E+00,0.000000E+00,2.853258E-02,5.440649E+02,1.837699E-01,1.518667E+03,1.215876E+02,1.633122E-01,9.501717E+03,2.853258E-02,0.000000E+00,0.000000E+00
01:00:00,6.344891E-02,1.219292E+03,3.950955E-01,3.206294E+03,2.018425E+02,9.634238E-02,5.605326E+03,6.344891E-02,0.000000E+00,0.000000E+00,4.809838E-02,9.243026E+02,2.896804E-01,2.350826E+03,1.479891E+02,2.612963E-01,1.520256E+04,4.809838E-02,0.000000E+00,0.000000E+00,2.853258E-02,5.483082E+02,1.732683E-01,1.406114E+03,8.851759E+01,1.633126E-01,9.501742E+03,2.853258E-02,0.000000E+00,0.000000E+00,4.809838E-02,9.243026E+02,2.891801E-01,2.346765E+03,1.477334E+02,2.626564E-01,1.528169E+04,4.809838E-02,0.000000E+00,0.000000E+00,2.853258E-02,5.483082E+02,1.820656E-01,1.477505E+03,9.301184E+01,1.633126E-01,9.501742E+03,2.853258E-02,0.000000E+00,0.000000E+00
01:10:00,6.344891E-02,1.225583E+03,3.945536E-01,3.162778E+03,1.619104E+02,9.634259E-02,5.605338E+03,6.344891E-02,0.000000E+00,0.000000E+00,4.809838E-02,9.290714E+02,2.880756E-01,2.309240E+03,1.182157E+02,2.612969E-01,1.520260E+04,4.809838E-02,0.000000E+00,0.000000E+00,2.853258E-02,5.511371E+02,1.721815E-01,1.380222E+03,7.065698E+01,1.633130E-01,9.501766E+03,2.853258E-02,0.000000E+00,0.000000E+00,4.809838E-02,9.290714E+02,2.875678E-01,2.305170E+03,1.180073E+02,2.626570E-01,1.528173E+04,4.809838E-02,0.000000E+00,0.000000E+00,2.853258E-02,5.511371E+02,1.805932E-01,1.447652E+03,7.410885E+01,1.633130E-01,9.501766E+03,2.853258E-02,0.000000E+00,0.000000E+00
01:20:00,6.344891E-02,1.231874E+03,3.940381E-01,3.119578E+03,1.220959E+02,9.634279E-02,5.605350E+03,6.344891E-02,0.000000E+00,0.000000E+00,4.809838E-02,9.338401E+02,2.865578E-01,2.268662E+03,8.879224E+01,2.612975E-01,1.520263E+04,4.809838E-02,0.000000E+00,0.000000E+00,2.853258E-02,5.539660E+02,1.711524E-01,1.355004E+03,5.303296E+01,1.633134E-01,9.501790E+03,2.853258E-02,0.000000E+00,0.000000E+00,4.809838E-02,9.338401E+02,2.860401E-01,2.264564E+03,8.863184E+01,2.626576E-01,1.528176E+04,4.809838E-02,0.000000E+00,0.000000E+00,2.853258E-02,5.539660E+02,1.791911E-01,1.418647E+03,5.552382E+01,1.633134E-01,9.501790E+03,2.853258E-02,0.000000E+00,0.000000E+00
01:30:00,6.344891E-02,1.238165E+03,3.935498E-01,3.076693E+03,8.238442E+01,9.634298E-02,5.605361E+03,6.344891E-02,0.000000E+00,0.000000E+00,4.809838E-02,9.386089E+02,2.851158E-01,2.228978E+03,5.968522E+01,2.612981E-01,1.520266E+04,4.809838E-02,0.000000E+00,0.000000E+00,2.853258E-02,5.567949E+02,1.701815E-01,1.330445E+03,3.562523E+01,1.633138E-01,9.501812E+03,2.853258E-02,0.000000E+00,0.000000E+00,4.809838E-02,9.386089E+02,2.845891E-01,2.224861E+03,5.957495E+01,2.626582E-01,1.528180E+04,4.809838E-02,0.000000E+00,0.000000E+00,2.853258E-02,5.567949E+02,1.778557E-01,1.390441E+03,3.723174E+01,1.633138E-01,9.501812E+03,2.853258E-02,0.000000E+00,0.000000E+00
01:40:00,6.344891E-02,1.244455E+03,3.930710E-01,3.033979E+03,4.277881E+01,9.634317E-02,5.605372E+03,6.344891E-02,0.000000E+00,0.000000E+00,4.809838E-02,9.433777E+02,2.837449E-01,2.190128E+03,3.088060E+01,2.612986E-01,1.520270E+04,4.809838E-02,0.000000E+00,0.000000E+00,2.853258E-02,5.596238E+02,1.692654E-01,1.306501E+03,1.842154E+01,1.633142E-01,9.501834E+03,2.853258E-02,0.000000E+00,0.000000E+00,4.809838E-02,9.433777E+02,2.832135E-01,2.186027E+03,3.082276E+01,2.626588E-01,1.528183E+04,4.809838E-02,0.000000E+00,0.000000E+00,2.853258E-02,5.596238E+02,1.765851E-01,1.363000E+03,1.921816E+01,1.633142E-01,9.501834E+03,2.853258E-02,0.000000E+00,0.000000E+00
