Time,CORE_ZN:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,1.546465E+03,3.773076E+03,8.028434E-02,3.334050E-01,4.195061E+03,2.831496E+03,2.177440E-01,2.501669E-01,2.621993E+03,1.699717E+03,1.360919E-01,1.501704E-01,4.216922E+03,2.827593E+03,2.188773E-01,2.498212E-01,2.621993E+03,1.803493E+03,1.360919E-01,1.593387E-01
00:20:00,1.546469E+03,3.762998E+03,8.028455E-02,3.325144E-01,4.195073E+03,2.810363E+03,2.177446E-01,2.482995E-01,2.622001E+03,1.685824E+03,1.360923E-01,1.489428E-01,4.216934E+03,2.806236E+03,2.188780E-01,2.479339E-01,2.622001E+03,1.785012E+03,1.360923E-01,1.577058E-01
00:30:00,1.546473E+03,3.753262E+03,8.028476E-02,3.316540E-01,4.195085E+03,2.789887E+03,2.177452E-01,2.464902E-01,2.622009E+03,1.672347E+03,1.360927E-01,1.477520E-01,4.216946E+03,2.785570E+03,2.188786E-01,2.461079E-01,2.622009E+03,1.767188E+03,1.360927E-01,1.561309E-01
00:40:00,1.546477E+03,3.743855E+03,8.028495E-02,3.308228E-01,4.195096E+03,2.770053E+03,2.177458E-01,2.447376E-01,2.622017E+03,1.659274E+03,1.360931E-01,1.465968E-01,4.216957E+03,2.765577E+03,2.188792E-01,2.443412E-01,2.622017E+03,1.749981E+03,1.360931E-01,1.546106E-01
00:50:00,1.546481E+03,3.734769E+03,8.028514E-02,3.300199E-01,4.195107E+03,2.750851E+03,2.177464E-01,2.430410E-01,2.622024E+03,1.646594E+03,1.360935E-01,1.454764E-01,4.216968E+03,2.746245E+03,2.188798E-01,2.426331E-01,2.622024E+03,1.733356E+03,1.360935E-01,1.531416E-01
01:00:00,1.546484E+03,3.726013E+03,8.028532E-02,3.292463E-01,4.195117E+03,2.732285E+03,2.177469E-01,2.414004E-01,2.622031E+03,1.634302E+03,1.360938E-01,1.443903E-01,4.216979E+03,2.727575E+03,2.188803E-01,2.409834E-01,2.622031E+03,1.717282E+03,1.360938E-01,1.517213E-01
01:10:00,1.546487E+03,3.720901E+03,8.028549E-02,3.287947E-01,4.195127E+03,2.717150E+03,2.177474E-01,2.400630E-01,2.622038E+03,1.624052E+03,1.360942E-01,1.434846E-01,4.216989E+03,2.712371E+03,2.188808E-01,2.396399E-01,2.622038E+03,1.703395E+03,1.360942E-01,1.504943E-01
01:20:00,1.546491E+03,3.716039E+03,8.028566E-02,3.283651E-01,4.195137E+03,2.702836E+03,2.177479E-01,2.387981E-01,2.622044E+03,1.614347E+03,1.360945E-01,1.426270E-01,4.216999E+03,2.697964E+03,2.188813E-01,2.383668E-01,2.622044E+03,1.690172E+03,1.360945E-01,1.493259E-01
01:30:00,1.546494E+03,3.711432E+03,8.028582E-02,3.279581E-01,4.195146E+03,2.689237E+03,2.177484E-01,2.375965E-01,2.622050E+03,1.605190E+03,1.360948E-01,1.418179E-01,4.217009E+03,2.684279E+03,2.188818E-01,2.371576E-01,2.622050E+03,1.677578E+03,1.360948E-01,1.482131E-01
01:40:00,1.546497E+03,3.706914E+03,8.028597E-02,3.275592E-01,4.195155E+03,2.676307E+03,2.177489E-01,2.364541E-01,2.622056E+03,1.596550E+03,1.360952E-01,1.410545E-01,4.217018E+03,2.671305E+03,2.188823E-01,2.360112E-01,2.622056E+03,1.665594E+03,1.360952E-01,1.471543E-01
01:50:00,1.546500E+03,3.702415E+03,8.028613E-02,3.271618E-01,4.195164E+03,2.663926E+03,2.177493E-01,2.353601E-01,2.622062E+03,1.588378E+03,1.360955E-01,1.403325E-01,4.217027E+03,2.658900E+03,2.188828E-01,2.349152E-01,2.622062E+03,1.654208E+03,1.360955E-01,1.461483E-01
02:00:00,1.546502E+03,3.697843E+03,8.028627E-02,3.267578E-01,4.195172E+03,2.652040E+03,2.177498E-01,2.343100E-01,2.622068E+03,1.580575E+03,1.360958E-01,1.396431E-01,4.217036E+03,2.647011E+03,2.188832E-01,2.338648E-01,2.622068E+03,1.643409E+03,1.360958E-01,1.451942E-01
02:10:00,1.546505E+03,3.693214E+03,8.028641E-02,3.263484E-01,4.195180E+03,2.640401E+03,2.177502E-01,2.332816E-01,2.622073E+03,1.572980E+03,1.360960E-01,1.389721E-01,4.217044E+03,2.635386E+03,2.188837E-01,2.328376E-01,2.622073E+03,1.633066E+03,1.360960E-01,1.442804E-01
